movie_id,company_id,company_name
36668,445,Major Studio Partners
36668,9168,Bad Hat Harry Productions
36668,12247,thinkfilm
36668,19551,Marvel Enterprises
36668,79028,X3 Canada Productions
36668,79029,X3US Productions
36668,79030,XM3 Service
62211,2,Walt Disney Pictures
62211,3,Pixar Animation Studios
8373,4,Paramount Pictures
8373,27,DreamWorks SKG
8373,56,Amblin Entertainment
8373,435,Di Bonaventura Pictures
8373,2481,Platinum Dunes
8373,22826,Hasbro Studios
8373,76043,Revolution Sun Studios
91314,4,Paramount Pictures
91314,56,Amblin Entertainment
91314,435,Di Bonaventura Pictures
91314,2481,Platinum Dunes
91314,11413,China Movie Channel
91314,22826,Hasbro Studios
91314,38833,Ian Bryce Productions
91314,76043,Revolution Sun Studios
68728,2,Walt Disney Pictures
68728,16314,Roth Films
102382,5,Columbia Pictures
102382,19551,Marvel Enterprises
102382,31828,Avi Arad Productions
102382,53462,Matt Tolmach Productions
20526,2,Walt Disney Pictures
20526,7161,LivePlanet
20526,18713,Prana Studios
20526,23791,Sean Bailey Productions
20526,76043,Revolution Sun Studios
20526,76067,Kontsept Film Company
49013,2,Walt Disney Pictures
49013,3,Pixar Animation Studios
44912,2609,De Line Pictures
44912,6194,Warner Bros.
44912,9993,DC Entertainment
10193,2,Walt Disney Pictures
10193,3,Pixar Animation Studios
534,5,Columbia Pictures
534,4021,The Halcyon Company
534,4022,Wonderland Sound and Vision
534,6194,Warner Bros.
168259,33,Universal Pictures
168259,333,Original Film
168259,3341,Fuji Television Network
168259,6452,Dentsu
168259,7154,One Race Films
168259,40890,China Film Co.
168259,86352,Québec Production Services Tax Credit
168259,86655,Media Rights Capital (MRC)
168259,87857,Abu Dhabi Film Commission
168259,87858,"Colorado Office of Film, Television & Media"
72190,4,Paramount Pictures
72190,3281,GK Films
72190,6277,Skydance Productions
72190,9169,Hemisphere Media Capital
72190,11956,Apparatus Productions
72190,19108,Latina Pictures
72190,23644,2DUX²
127585,306,Twentieth Century Fox Film Corporation
127585,431,Donners' Company
127585,7505,Marvel Entertainment
127585,9168,Bad Hat Harry Productions
127585,22213,TSG Entertainment
127585,37336,Down Productions
127585,76043,Revolution Sun Studios
54138,4,Paramount Pictures
54138,6277,Skydance Productions
54138,11461,Bad Robot
54138,12536,Kurtzman/Orci
81005,12,New Line Cinema
81005,333,Original Film
81005,923,Legendary Pictures
81005,6194,Warner Bros.
81005,8406,Big Kid Pictures
81005,9168,Bad Hat Harry Productions
64682,79,Village Roadshow Pictures
64682,240,Bazmark Films
64682,6194,Warner Bros.
64682,11858,A&E Television Networks
64682,14440,Red Wagon Entertainment
64682,14604,Spectrum Films
9543,2,Walt Disney Pictures
9543,130,Jerry Bruckheimer Films
68726,923,Legendary Pictures
68726,6194,Warner Bros.
68726,19750,Disney Double Dare You (DDY)
68726,19751,Indochina Productions
38356,4,Paramount Pictures
38356,435,Di Bonaventura Pictures
38356,19751,Indochina Productions
38356,22826,Hasbro Studios
217,1,Lucasfilm
217,4,Paramount Pictures
105864,2,Walt Disney Pictures
105864,3,Pixar Animation Studios
62177,2,Walt Disney Pictures
62177,3,Pixar Animation Studios
188927,4,Paramount Pictures
188927,11461,Bad Robot
188927,34530,Perfect Storm Entertainment
188927,69484,Alibaba Pictures Group
188927,82819,Skydance Media
188927,83644,Sneaky Shark
188927,83645,Huahua Media
10681,2,Walt Disney Pictures
10681,3,Pixar Animation Studios
10681,93408,FortyFour Studios
5174,12,New Line Cinema
14161,5,Columbia Pictures
14161,347,Centropolis Entertainment
14161,1557,The Mark Gordon Company
14161,10905,Farewell Productions
17979,5888,Walt Disney
17979,11395,ImageMovers
76757,79,Village Roadshow Pictures
76757,444,Dune Entertainment
76757,450,Anarchos Productions
76757,6194,Warner Bros.
258489,79,Village Roadshow Pictures
258489,552,Dark Horse Entertainment
258489,2596,Jerry Weintraub Productions
258489,41624,RatPac-Dune Entertainment
258489,46339,Beagle Pug Films
258489,86565,Riche Productions
258489,86566,Village Roadshow Films North America
411,5888,Walt Disney
411,10221,Walden Media
246655,306,Twentieth Century Fox Film Corporation
246655,431,Donners' Company
246655,7505,Marvel Entertainment
246655,9168,Bad Hat Harry Productions
246655,22213,TSG Entertainment
246655,78091,Kinberg Genre
155,429,DC Comics
155,923,Legendary Pictures
155,6194,Warner Bros.
155,9993,DC Entertainment
155,9996,Syncopy
14160,3,Pixar Animation Studios
15512,521,DreamWorks Animation
1726,420,Marvel Studios
44826,4,Paramount Pictures
44826,2691,Infinitum Nihil
44826,3281,GK Films
8487,2507,"Todman, Simon, LeMasters Productions"
8487,6194,Warner Bros.
8487,16774,Peters Entertainment
8487,57088,Sonnenfeld Josephson Worldwide Entertainment
1735,33,Universal Pictures
1735,2269,China Film Co-Production Corporation
1735,7295,Relativity Media
1735,11462,Alphaville Films
1735,19643,"Sommers Company, The"
297761,429,DC Comics
297761,444,Dune Entertainment
297761,507,Atlas Entertainment
297761,6194,Warner Bros.
297761,9993,DC Entertainment
2698,5,Columbia Pictures
2698,33,Universal Pictures
2698,158,Spyglass Entertainment
2698,159,Shady Acres Entertainment
2698,333,Original Film
2698,4171,Playtone
2698,7295,Relativity Media
137113,79,Village Roadshow Pictures
137113,6194,Warner Bros.
137113,6687,Viz Media
137113,12200,Province of British Columbia Production Services Tax Credit
137113,36390,3 Arts Entertainment
137113,41624,RatPac-Dune Entertainment
9804,33,Universal Pictures
9804,1073,Gordon Company
9804,1302,Davis Entertainment
9804,6092,Licht/Mueller Film Corporation
14869,4,Paramount Pictures
14869,158,Spyglass Entertainment
14869,435,Di Bonaventura Pictures
14869,2598,Hasbro
14869,76067,Kontsept Film Company
150540,2,Walt Disney Pictures
150540,3,Pixar Animation Studios
278927,2,Walt Disney Pictures
278927,3036,Walt Disney Studios Motion Pictures
278927,7297,Fairview Entertainment
278927,20478,Moving Picture Company (MPC)
10138,420,Marvel Studios
58595,33,Universal Pictures
58595,16314,Roth Films
102651,2,Walt Disney Pictures
102651,3036,Walt Disney Studios Motion Pictures
102651,16314,Roth Films
119450,290,Ingenious Media
119450,7076,Chernin Entertainment
119450,22213,TSG Entertainment
64686,2735,Mid Atlantic Films
64686,4403,Stuber Productions
64686,6292,Universal
64686,20478,Moving Picture Company (MPC)
64686,20851,H2F Entertainment
100402,420,Marvel Studios
10192,521,DreamWorks Animation
158852,2,Walt Disney Pictures
158852,20656,Babieka
158852,59778,A113
177572,2,Walt Disney Pictures
177572,6125,Walt Disney Animation Studios
82690,6125,Walt Disney Animation Studios
5255,1867,Golden Mean
5255,4171,Playtone
5255,11395,ImageMovers
47933,306,Twentieth Century Fox Film Corporation
47933,347,Centropolis Entertainment
47933,22213,TSG Entertainment
47933,86561,Stereo D
10191,521,DreamWorks Animation
10191,829,Vertigo Entertainment
10191,20154,Mad Hatter Entertainment
296,5,Columbia Pictures
296,763,Intermedia Films
296,6194,Warner Bros.
296,7340,C-2 Pictures
296,19116,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
296,23636,Mostow/Lieberman Productions
118340,420,Marvel Studios
118340,20478,Moving Picture Company (MPC)
118340,54850,Bulletproof Cupid
118340,76043,Revolution Sun Studios
157336,4,Paramount Pictures
157336,923,Legendary Pictures
157336,6194,Warner Bros.
157336,9996,Syncopy
157336,13769,Lynda Obst Productions
27205,923,Legendary Pictures
27205,6194,Warner Bros.
27205,9996,Syncopy
315011,5896,Cine Bazar
315011,49301,Toho Pictures
49051,11,WingNut Films
49051,12,New Line Cinema
49051,174,Warner Bros. Pictures
49051,8411,Metro-Goldwyn-Mayer (MGM)
9799,33,Universal Pictures
9799,333,Original Film
9799,26281,Ardustry Entertainment
9799,26282,Mediastream Film GmbH & Co. Productions KG
4922,4,Paramount Pictures
4922,6194,Warner Bros.
4922,7383,"Kennedy/Marshall Company, The"
49538,289,Ingenious Film Partners
49538,290,Ingenious Media
49538,306,Twentieth Century Fox Film Corporation
49538,431,Donners' Company
49538,444,Dune Entertainment
49538,6332,Dune Entertainment III
49538,7505,Marvel Entertainment
49538,9168,Bad Hat Harry Productions
49538,10893,Big Screen Productions
131634,264,Studio Babelsberg
131634,1632,Lionsgate
131634,5420,Color Force
27022,2,Walt Disney Pictures
27022,130,Jerry Bruckheimer Films
27022,831,Saturn Films
27022,8000,Broken Road Productions
27022,19097,Junction Entertainment
503,449,Virtual Studios
503,1633,Next Entertainment
503,6194,Warner Bros.
503,14024,Irwin Allen Productions
503,18990,Radiant Productions
503,19943,Synthesis Entertainment
241259,2,Walt Disney Pictures
241259,598,Team Todd
241259,8601,Tim Burton Productions
241259,16314,Roth Films
241259,37455,Legend3D
810,27,DreamWorks SKG
810,521,DreamWorks Animation
68735,33,Universal Pictures
68735,507,Atlas Entertainment
68735,923,Legendary Pictures
68735,16028,Blizzard Entertainment
87101,4,Paramount Pictures
87101,13184,Annapurna Pictures
87101,82819,Skydance Media
10140,444,Dune Entertainment
10140,711,Fox 2000 Pictures
10140,10221,Walden Media
676,130,Jerry Bruckheimer Films
676,9195,Touchstone Pictures
1858,4,Paramount Pictures
1858,27,DreamWorks SKG
1858,56,Amblin Entertainment
1858,435,Di Bonaventura Pictures
1858,2481,Platinum Dunes
1858,12247,thinkfilm
1858,20011,SprocketHeads
1858,22826,Hasbro Studios
1858,76043,Revolution Sun Studios
1966,591,France 3 Cinéma
1966,763,Intermedia Films
1966,866,Pathé Renn Productions
1966,4588,Egmond Film & Television
1966,6194,Warner Bros.
1966,10926,Pacifica Film
1966,19116,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
1966,54997,WR Universal Group
675,6194,Warner Bros.
675,7364,Heyday Films
674,462,Patalex IV Productions Limited
674,6194,Warner Bros.
674,7364,Heyday Films
8960,5,Columbia Pictures
8960,433,Weed Road Pictures
8960,675,Forward Pass
8960,7295,Relativity Media
8960,12485,Overbrook Entertainment
8960,28064,Blue Light
8960,41756,GH Three
6479,79,Village Roadshow Pictures
6479,333,Original Film
6479,433,Weed Road Pictures
6479,6194,Warner Bros.
6479,7364,Heyday Films
6479,12485,Overbrook Entertainment
118,79,Village Roadshow Pictures
118,80,The Zanuck Company
118,6194,Warner Bros.
118,8601,Tim Burton Productions
118,45778,Plan B Entertainment
118,55512,Theobald Film Productions
2062,2,Walt Disney Pictures
2062,3,Pixar Animation Studios
272,429,DC Comics
272,923,Legendary Pictures
272,6194,Warner Bros.
272,9993,DC Entertainment
272,9996,Syncopy
272,19231,Patalex III Productions Limited
10527,521,DreamWorks Animation
18360,306,Twentieth Century Fox Film Corporation
18360,436,1492 Pictures
18360,444,Dune Entertainment
18360,2575,21 Laps Entertainment
18360,10224,Museum Canada Productions
18360,20478,Moving Picture Company (MPC)
2080,289,Ingenious Film Partners
2080,306,Twentieth Century Fox Film Corporation
2080,431,Donners' Company
2080,444,Dune Entertainment
2080,9076,Seed Productions
2080,9168,Bad Hat Harry Productions
2080,10893,Big Screen Productions
2080,19551,Marvel Enterprises
605,79,Village Roadshow Pictures
605,172,NPV Entertainment
605,1885,Silver Pictures
605,6194,Warner Bros.
109445,2,Walt Disney Pictures
109445,6125,Walt Disney Animation Studios
604,79,Village Roadshow Pictures
604,172,NPV Entertainment
604,375,Heineken Branded Entertainment
604,1885,Silver Pictures
604,6194,Warner Bros.
76338,420,Marvel Studios
76341,79,Village Roadshow Pictures
76341,2537,Kennedy Miller Productions
76341,6194,Warner Bros.
13448,5,Columbia Pictures
13448,23,Imagine Entertainment
13448,5561,Panorama Films
13448,8253,Skylark Productions
10195,420,Marvel Studios
13053,6125,Walt Disney Animation Studios
19585,2,Walt Disney Pictures
19585,130,Jerry Bruckheimer Films
19585,3639,Whamaphram Productions
57165,923,Legendary Pictures
57165,3528,Thunder Road Pictures
57165,6194,Warner Bros.
57165,24175,Cott Productions
57165,24176,"Furia de Titanes II, A.I.E."
62213,79,Village Roadshow Pictures
62213,2691,Infinitum Nihil
62213,3281,GK Films
62213,6194,Warner Bros.
62213,8601,Tim Burton Productions
62213,9228,Dan Curtis Productions
62213,20004,"Zanuck Company, The"
177677,4,Paramount Pictures
177677,6277,Skydance Productions
177677,11413,China Movie Channel
177677,11461,Bad Robot
177677,21777,TC Productions
177677,69484,Alibaba Pictures Group
177677,69485,Odin
5559,520,Pacific Data Images (PDI)
5559,521,DreamWorks Animation
5559,1903,Columbus 81 Productions
49444,521,DreamWorks Animation
10196,4,Paramount Pictures
10196,2348,Nickelodeon Movies
10196,7383,"Kennedy/Marshall Company, The"
10196,8805,Industrial Light & Magic (ILM)
10196,12236,Blinding Edge Pictures
956,4,Paramount Pictures
956,44,Cruise/Wagner Productions
956,264,Studio Babelsberg
956,658,MI 3 Film
956,2269,China Film Co-Production Corporation
956,14714,China Film Group Corporation (CFGC)
956,22102,The Fourth Production Company Film Group
117251,5,Columbia Pictures
117251,347,Centropolis Entertainment
117251,34981,Iron Horse Entertainment (II)
117251,34982,Mythology Entertainment (II)
50321,6125,Walt Disney Animation Studios
11619,297,Aardman Animations
11619,521,DreamWorks Animation
266647,6194,Warner Bros.
266647,20478,Moving Picture Company (MPC)
266647,27711,Berlanti Productions
266647,41624,RatPac-Dune Entertainment
82703,520,Pacific Data Images (PDI)
82703,521,DreamWorks Animation
82703,73951,Classic Media Productions
82703,73952,Bullwinkle Studios
652,81,Plan B Entertainment
652,6194,Warner Bros.
652,7636,Nimar Studios
652,18990,Radiant Productions
652,19107,Helena Productions
652,19108,Latina Pictures
80321,521,DreamWorks Animation
36669,7576,Eon Productions
43074,5,Columbia Pictures
43074,79,Village Roadshow Pictures
43074,4607,"Montecito Picture Company, The"
43074,34034,LStar Capital
43074,61791,Feigco Entertainment
43074,84041,Pascal Pictures
43074,84042,Ghostcorps
95,130,Jerry Bruckheimer Films
95,9195,Touchstone Pictures
95,11533,Valhalla Motion Pictures
608,5,Columbia Pictures
608,56,Amblin Entertainment
608,441,Columbia Pictures Corporation
608,49325,Parkes+MacDonald Image Nation
2310,4,Paramount Pictures
2310,2265,Shangri-La Entertainment
2310,11395,ImageMovers
2310,24955,Paramount Animation
140300,306,Twentieth Century Fox Film Corporation
140300,521,DreamWorks Animation
140300,40890,China Film Co.
140300,76266,Oriental DreamWorks
56292,4,Paramount Pictures
56292,6277,Skydance Productions
56292,11461,Bad Robot
56292,21777,TC Productions
56292,76043,Revolution Sun Studios
56292,76067,Kontsept Film Company
81188,521,DreamWorks Animation
7552,23,Imagine Entertainment
7552,441,Columbia Pictures Corporation
7552,76714,JC 23 Entertainment
616,44,Cruise/Wagner Productions
616,6194,Warner Bros.
616,14718,Radar Pictures
616,20634,"Bedford Falls Company, The"
147441,1645,Scott Free Productions
147441,7076,Chernin Entertainment
147441,20656,Babieka
147441,52184,Volcano Films
13475,4,Paramount Pictures
13475,158,Spyglass Entertainment
13475,11461,Bad Robot
13475,23419,MavroCine Pictures GmbH & Co. KG
557,5,Columbia Pictures
557,19551,Marvel Enterprises
82702,521,DreamWorks Animation
82702,20154,Mad Hatter Entertainment
205584,491,Summit Entertainment
205584,908,Mystery Clock Cinema
205584,3528,Thunder Road Pictures
205584,72441,TIK Films
205584,88715,Pyramania
10048,326,Laura Ziskin Productions
10048,333,Original Film
10048,441,Columbia Pictures Corporation
10048,11317,Phoenix Pictures
10048,19523,AFG Talons Productions
13183,4,Paramount Pictures
13183,429,DC Comics
13183,840,Lawrence Gordon Productions
13183,923,Legendary Pictures
13183,6194,Warner Bros.
13183,78685,Cruel and Unusual Films
944,1885,Silver Pictures
944,5739,Donner/Shuler-Donner Productions
944,6194,Warner Bros.
1927,33,Universal Pictures
1927,10565,Good Machine
1927,11533,Valhalla Motion Pictures
1927,19551,Marvel Enterprises
72559,4,Paramount Pictures
72559,435,Di Bonaventura Pictures
72559,2598,Hasbro
72559,6277,Skydance Productions
72559,8411,Metro-Goldwyn-Mayer (MGM)
72559,19719,Saints LA
7364,4,Paramount Pictures
7364,2233,Bristol Bay Productions
7364,2234,Baldwin Entertainment Group
7364,2235,Desertlands Entertainment
7364,2767,Mace Neufeld Productions
7364,4169,Kanzaman
7364,12124,J.K. Livin Productions
7364,12125,Moguletta
7364,12126,Sahara Productions
7364,19481,Babelsberg Film
2114,5,Columbia Pictures
2114,4164,Square USA
2114,20033,Chris Lee Productions
1771,420,Marvel Studios
36643,7576,Eon Productions
36643,8411,Metro-Goldwyn-Mayer (MGM)
8619,33,Universal Pictures
8619,306,Twentieth Century Fox Film Corporation
8619,9118,Samuel Goldwyn Films
8619,53009,Miramax
50620,491,Summit Entertainment
50620,5219,Sunswept Entertainment
50620,12292,Temple Hill Entertainment
65759,79,Village Roadshow Pictures
65759,6194,Warner Bros.
65759,28381,Dr D Studios
65759,28382,Kennedy Miller Mitchell
1724,33,Universal Pictures
1724,420,Marvel Studios
1724,11533,Valhalla Motion Pictures
1724,25121,MVL Incredible Productions
267935,2,Walt Disney Pictures
267935,56,Amblin Entertainment
267935,7294,Reliance Entertainment
267935,7383,"Kennedy/Marshall Company, The"
267935,10221,Walden Media
281957,508,Regency Enterprises
281957,562,Appian Way
281957,8870,CatchPlay
281957,10039,Anonymous Content
281957,10104,New Regency Pictures
281957,13796,Hong Kong Alpha Motion Pictures Co.
281957,28732,RatPac Entertainment
281957,52660,M Productions
281957,77845,Monarchy Enterprises S.a.r.l.
77950,521,DreamWorks Animation
44896,4,Paramount Pictures
44896,2348,Nickelodeon Movies
44896,3281,GK Films
44896,10262,Blind Wink
44896,24955,Paramount Animation
270946,521,DreamWorks Animation
2503,33,Universal Pictures
2503,862,The Kennedy/Marshall Company
2503,11347,Ludlum Entertainment
2503,11348,Motion Picture BETA Produktionsgesellschaft
2503,11349,Bourne Again
9502,521,DreamWorks Animation
102899,420,Marvel Studios
101299,1632,Lionsgate
101299,5420,Color Force
228161,306,Twentieth Century Fox Film Corporation
228161,521,DreamWorks Animation
74,4,Paramount Pictures
74,27,DreamWorks SKG
74,44,Cruise/Wagner Productions
74,56,Amblin Entertainment
8961,441,Columbia Pictures Corporation
8961,10288,Don Simpson/Jerry Bruckheimer Films
417859,7,DreamWorks
27576,5,Columbia Pictures
27576,435,Di Bonaventura Pictures
27576,7295,Relativity Media
27576,11845,Wintergreen Productions
86834,4,Paramount Pictures
86834,508,Regency Enterprises
86834,7503,Protozoa Pictures
86834,10256,Disruption Entertainment
17578,4,Paramount Pictures
17578,5,Columbia Pictures
17578,11,WingNut Films
17578,56,Amblin Entertainment
17578,2348,Nickelodeon Movies
17578,7383,"Kennedy/Marshall Company, The"
17578,9169,Hemisphere Media Capital
673,436,1492 Pictures
673,437,Heyday films
673,6194,Warner Bros.
6972,240,Bazmark Films
6972,289,Ingenious Film Partners
6972,306,Twentieth Century Fox Film Corporation
6972,6332,Dune Entertainment III
6972,7888,ScreenWest
82700,5,Columbia Pictures
82700,12236,Blinding Edge Pictures
82700,12485,Overbrook Entertainment
10567,2,Walt Disney Pictures
10567,10217,Walt Disney Feature Animation
181533,306,Twentieth Century Fox Film Corporation
181533,436,1492 Pictures
181533,2575,21 Laps Entertainment
181533,20478,Moving Picture Company (MPC)
181533,22213,TSG Entertainment
38055,521,DreamWorks Animation
671,436,1492 Pictures
671,6194,Warner Bros.
671,7364,Heyday Films
49524,33,Universal Pictures
49524,333,Original Film
49524,552,Dark Horse Entertainment
22,2,Walt Disney Pictures
22,130,Jerry Bruckheimer Films
131631,1632,Lionsgate
131631,5420,Color Force
591,5,Columbia Pictures
591,23,Imagine Entertainment
591,8253,Skylark Productions
591,19927,Government of Malta
172385,9383,Blue Sky Studios
172385,11749,Twentieth Century Fox Animation
36658,306,Twentieth Century Fox Film Corporation
36658,431,Donners' Company
36658,9168,Bad Hat Harry Productions
36658,19551,Marvel Enterprises
36658,79026,XM2 Productions
36658,79027,XF2 Canada Productions
51497,33,Universal Pictures
51497,333,Original Film
51497,1225,One Race Productions
58574,79,Village Roadshow Pictures
58574,1885,Silver Pictures
58574,2723,Lin Pictures
58574,6194,Warner Bros.
58574,23202,Wigram Productions
18823,80,The Zanuck Company
18823,923,Legendary Pictures
18823,3528,Thunder Road Pictures
18823,6194,Warner Bros.
18823,20478,Moving Picture Company (MPC)
861,559,TriStar Pictures
861,14723,Carolco Pictures
861,80461,Carolco International N.V.
1911,9195,Touchstone Pictures
49040,33,Universal Pictures
49040,6452,Dentsu
49040,7295,Relativity Media
49040,7383,"Kennedy/Marshall Company, The"
49040,25716,Captivate Entertainment
415,1382,PolyGram Filmed Entertainment
415,6194,Warner Bros.
8871,23,Imagine Entertainment
8871,33,Universal Pictures
435,35,Lions Gate Films
435,306,Twentieth Century Fox Film Corporation
435,347,Centropolis Entertainment
435,11362,Mark Gordon Productions
435,54502,Mel's Cite du Cinema
955,4,Paramount Pictures
955,44,Cruise/Wagner Productions
955,51199,Munich Film Partners & Company (MFP) MI2 Productions
2133,6194,Warner Bros.
2133,16061,Baltimore Spring Creek Productions
2133,18990,Radiant Productions
1979,289,Ingenious Film Partners
1979,306,Twentieth Century Fox Film Corporation
1979,436,1492 Pictures
1979,444,Dune Entertainment
1979,5755,Constantin Film Produktion
1979,10881,Bernd Eichinger Productions
1979,19551,Marvel Enterprises
87827,289,Ingenious Film Partners
87827,290,Ingenious Media
87827,444,Dune Entertainment
87827,711,Fox 2000 Pictures
87827,10893,Big Screen Productions
87827,13480,Haishang Films
1250,441,Columbia Pictures Corporation
1250,7295,Relativity Media
1250,11370,Michael De Luca Productions
1250,19551,Marvel Enterprises
1250,20241,Crystal Sky Pictures
1250,20475,GH One
1250,20476,Vengeance Productions Pty. Ltd.
324668,862,The Kennedy/Marshall Company
324668,25716,Captivate Entertainment
324668,29313,Pearl Street Films
324668,31922,Double Negative
324668,83871,Perfect World (Beijing) Pictures Co.
9471,5,Columbia Pictures
9471,4022,Wonderland Sound and Vision
9471,10239,Tall Trees Productions
9471,19813,Flower Films (II)
70981,306,Twentieth Century Fox Film Corporation
70981,444,Dune Entertainment
70981,1645,Scott Free Productions
70981,19747,Brandywine Productions
10996,5,Columbia Pictures
10996,5752,Sony Pictures Entertainment
68724,559,TriStar Pictures
68724,2531,Media Rights Capital
68724,7431,Sony Pictures Entertainment (SPE)
68724,11029,QED International
68724,18209,Alpha Core
68724,28788,Genre Films
68724,31076,Simon Kinberg Productions
2789,7154,One Race Films
2789,14718,Radar Pictures
97020,5,Columbia Pictures
97020,655,Strike Entertainment
97020,8411,Metro-Goldwyn-Mayer (MGM)
7459,79,Village Roadshow Pictures
7459,264,Studio Babelsberg
7459,450,Anarchos Productions
7459,1885,Silver Pictures
7459,6194,Warner Bros.
7459,12170,Velocity Productions
42888,5,Columbia Pictures
42888,18,Gracie Films
42888,2648,Road Rebel
37834,84,Tree Line Films
37834,306,Twentieth Century Fox Film Corporation
37834,444,Dune Entertainment
37834,508,Regency Enterprises
37834,21845,Pink Machine
75612,33,Universal Pictures
75612,7076,Chernin Entertainment
75612,7295,Relativity Media
75612,19647,Monolith Pictures (III)
75612,19648,Radical Studios
1895,1,Lucasfilm
1894,1,Lucasfilm
585,2,Walt Disney Pictures
585,3,Pixar Animation Studios
76170,306,Twentieth Century Fox Film Corporation
76170,431,Donners' Company
76170,7505,Marvel Entertainment
76170,9168,Bad Hat Harry Productions
76170,10893,Big Screen Productions
76170,22213,TSG Entertainment
1893,1,Lucasfilm
49519,521,DreamWorks Animation
2395,47,Constantin Film
2395,356,TF1 Films Productions
2395,866,Pathé Renn Productions
2395,1992,La Petite Reine
2395,1994,Tri Pictures
2395,1995,Sorolla Films
2395,1996,Novo RPI
2395,5358,Canal+
2395,8676,uFilm
2395,9335,Canal+ España
2395,11921,Le Tax Shelter du Gouvernement Fédéral de Belgique
2395,20409,Les Editions Albert René
12100,2812,Lion Rock Productions
12100,8411,Metro-Goldwyn-Mayer (MGM)
290595,33,Universal Pictures
290595,10338,Perfect World Pictures
290595,16314,Roth Films
98566,4,Paramount Pictures
98566,2348,Nickelodeon Movies
98566,2481,Platinum Dunes
49047,6194,Warner Bros.
49047,7364,Heyday Films
49047,7470,Esperanto Filmoj
9619,33,Universal Pictures
9619,1280,Pacific Western
308531,4,Paramount Pictures
